,Price,Room,View Size,Age,Floortype,Location
3115,"
3.200 TL",2 + 1,"
110 m2",3 Yaşında, 5. Kat,"
Ümraniye,
 
Saray Mahallesi
"
3116,"
4.750 TL",3 + 1,"
130 m2",30 Yaşında, 6. Kat,"
Fatih,
 
Akşemsettin Mahallesi
"
3117,"
6.500 TL",2 + 1,"
120 m2",25 Yaşında, Yüksek Giriş,"
Beşiktaş,
 
Etiler Mahallesi
"
3118,"
3.850 TL",3 + 1,"
130 m2",40 Yaşında, Yüksek Giriş,"
Kadıköy,
 
Göztepe Mahallesi
"
3119,"
3.550 TL",3 + 1,"
120 m2",14 Yaşında, Yüksek Giriş,"
Şişli,
 
Feriköy Mahallesi
"
3120,"
40.000 TL",6 + 2,"
350 m2",100 Yaşında, ,"
Beşiktaş,
 
Arnavutköy Mahallesi
"
3121,"
2.750 TL",3 + 1,"
110 m2",35 Yaşında, Ara Kat,"
Üsküdar,
 
Sultantepe Mahallesi
"
3122,"
2.700 TL",2 + 1,"
100 m2",Sıfır Bina, 2. Kat,"
Beylikdüzü,
 
Kavaklı Mahallesi
"
3123,"
5.000 TL",1 + 1,"
85 m2",30 Yaşında, 8. Kat,"
Beyoğlu,
 
Evliya Çelebi Mahallesi
"
3124,"
2.100 TL",1 + 1,"
53 m2",10 Yaşında, 2. Kat,"
Başakşehir,
 
Başakşehir Mahallesi
"
3125,"
2.000 TL",1 + 1,"
75 m2",30 Yaşında, 4. Kat,"
Kağıthane,
 
Çeliktepe Mahallesi
"
3126,"
2.500 TL",2 + 1,"
120 m2",Sıfır Bina, 1. Kat,"
Beylikdüzü,
 
Yakuplu Mahallesi
"
3127,"
95.000 TL",3 + 2,"
750 m2",10 Yaşında, 21 ve üzeri,"
Beşiktaş,
 
Levent Mahallesi
"
3128,"
1.450 TL",2 + 1,"
75 m2",8 Yaşında, Giriş Katı,"
Bahçelievler,
 
Soğanlı Mahallesi
"
3129,"
2.100 TL",2 + 1,"
85 m2",24 Yaşında, 4. Kat,"
Şişli,
 
Mecidiyeköy Mahallesi
"
3130,"
1.700 TL",1 + 1,"
65 m2",30 Yaşında, Yarı Bodrum,"
Fatih,
 
Seyyid Ömer Mahallesi
"
3131,"
1.900 TL",2 + 1,"
85 m2",25 Yaşında, 1. Kat,"
Kağıthane,
 
Çeliktepe Mahallesi
"
3132,"
3.500 TL",3 + 1,"
115 m2",40 Yaşında, 3. Kat,"
Üsküdar,
 
Sultantepe Mahallesi
"
3133,"
1.800 TL",2 + 1,"
115 m2",22 Yaşında, 1. Kat,"
Kağıthane,
 
Sultan Selim Mahallesi
"
3134,"
1.700 TL",2 + 1,"
90 m2",19 Yaşında, Giriş Katı,"
Kağıthane,
 
Ortabayır Mahallesi
"
3135,"
2.500 TL",2 + 2,"
150 m2",25 Yaşında, En Üst Kat,"
Şişli,
 
Esentepe Mahallesi
"
3136,"
2.400 TL",3 + 1,"
120 m2",20 Yaşında, 3. Kat,"
Avcılar,
 
Cihangir Mahallesi
"
3137,"
24.000 TL",2 + 1,"
85 m2",31 Yaşında, 1. Kat,"
Şile,
 
Çavuş Mahallesi
"
3138,"
1.500 TL",2 + 1,"
90 m2",20 Yaşında, Bahçe Katı,"
Üsküdar,
 
Bulgurlu Mahallesi
"
3139,"
6.000 TL",1 + 1,"
85 m2",10 Yaşında, 1. Kat,"
Sarıyer,
 
Maslak Mahallesi
"
3140,"
8.500 TL",4 + 1,"
210 m2",6 Yaşında, 3. Kat,"
Bahçelievler,
 
Yenibosna Merkez Mahallesi
"
3141,"
8.750 TL",4 + 1,"
180 m2",30 Yaşında, 1. Kat,"
Kadıköy,
 
Caferağa Mahallesi
"
3142,"
3.700 TL",3 + 1,"
120 m2",Sıfır Bina, 5. Kat,"
Maltepe,
 
Cevizli Mahallesi
"
3143,"
1.400 TL",1 + 1,"
65 m2",20 Yaşında, Kot 1,"
Esenyurt,
 
Piri Reis Mahallesi
"
3144,"
3.500 TL",3 + 1,"
100 m2",30 Yaşında, Giriş Katı,"
Sarıyer,
 
Büyükdere Mahallesi
"
3145,"
2.000 TL",3 + 1,"
110 m2",25 Yaşında, 2. Kat,"
Kağıthane,
 
Çeliktepe Mahallesi
"
3146,"
2.300 TL",3 + 1,"
100 m2",15 Yaşında, Yüksek Giriş,"
Bahçelievler,
 
Şirinevler Mahallesi
"
3147,"
4.500 TL",1 + 1,"
65 m2",25 Yaşında, 3. Kat,"
 Şişli,
 
Ergenekon Mahallesi
"
3148,"
7.000 TL",3 + 1,"
120 m2",22 Yaşında, 6. Kat,"
Beyoğlu,
 
Kuloğlu Mahallesi
"
3149,"
2.900 TL",3 + 1,"
110 m2",30 Yaşında, 4. Kat,"
Şişli,
 
Duatepe Mahallesi
"
3150,"
2.400 TL",1 + 1,"
55 m2",4 Yaşında, 1. Kat,"
Şişli,
 
İzzet Paşa Mahallesi
"
3151,"
3.350 TL",2 + 1,"
98 m2",Sıfır Bina, 12. Kat,"
Ümraniye,
 
Esenşehir Mahallesi
"
3152,"
12.000 TL",4 + 1,"
280 m2",Sıfır Bina, 2. Kat,"
Bakırköy,
 
Basınköy Mahallesi
"
3153,"
6.000 TL",1 + 1,"
90 m2",24 Yaşında, Giriş Katı,"
Beşiktaş,
 
Ortaköy Mahallesi
"
3154,"
8.000 TL",4 + 1,"
169 m2",10 Yaşında, 9. Kat,"
Gaziosmanpaşa,
 
Karayolları Mahallesi
 "
3155,"
3.000 TL",3 + 1,"
110 m2",29 Yaşında, 12. Kat,"
Kadıköy,
 
19 Mayıs Mahallesi
"
3156,"
2.000 TL",2 + 1,"
90 m2",30 Yaşında, Bahçe Katı,"
Şişli,
 
Duatepe Mahallesi
"
3157,"
2.500 TL",2 + 1,"
60 m2",25 Yaşında, Giriş Katı,"
Kadıköy,
 
Koşuyolu Mahallesi
"
3158,"
1.000 TL",3 + 1,"
110 m2",25 Yaşında, Yüksek Giriş,"
Pendik,
 
Esenyalı Mahallesi
"
3159,"
2.000 TL",2 + 1,"
100 m2",25 Yaşında, Çatı Katı,"
Kağıthane,
 
Sultan Selim Mahallesi
"
3160,"
1.750 TL",1 + 1,"
65 m2",5 Yaşında, 2. Kat,"
Şişli,
 
Paşa Mahallesi
"
3161,"
30.000 TL",4 + 1,"
200 m2",31 Yaşında, 4. Kat,"
Beyoğlu,
 
Hacımimi Mahallesi
"
3162,"
4.850 TL",2 + 1,"
110 m2",30 Yaşında, 2. Kat,"
Şişli,
 
Esentepe Mahallesi
"
3163,"
3.000 TL",1 + 1,"
70 m2",35 Yaşında, 1. Kat,"
Şişli,
 
Merkez Mahallesi
"
3164,"
1.650 TL",2 + 1,"
90 m2",25 Yaşında, 2. Kat,"
Sarıyer,
 
Kireçburnu Mahallesi
"
3165,"
1.500 TL",2 + 1,"
100 m2",30 Yaşında, Bahçe Katı,"
Eyüpsultan,
 
Karadolap Mahallesi
"
3166,"
39.000 TL",3 + 1,"
200 m2",1 Yaşında, 4. Kat,"
Beşiktaş,
 
Ulus Mahallesi
"
3167,"
4.500 TL",1 + 1,"
60 m2",1 Yaşında, 1. Kat,"
Şişli,
 
19 Mayıs Mahallesi
"
3168,"
5.750 TL",3 + 1,"
130 m2",2 Yaşında, 1. Kat,"
Bakırköy,
 
Zuhuratbaba Mahallesi
"
3169,"
1.250 TL",1 + 1,"
60 m2",4 Yaşında, Giriş Katı,"
Maltepe,
 
Fındıklı Mahallesi
"
3170,"
1.900 TL",1 + 1,"
80 m2",20 Yaşında, Bahçe Katı,"
Sarıyer,
 
Kireçburnu Mahallesi
"
3171,"
1.750 TL",2 + 1,"
120 m2",22 Yaşında, 4. Kat,"
Kağıthane,
 
Yeşilce Mahallesi
"
3172,"
7.250 TL",3 + 1,"
145 m2",3 Yaşında, Bahçe Katı,"
Bakırköy,
 
Yeşilyurt Mahallesi
"
3173,"
10.000 TL",8 + 3,"
450 m2",15 Yaşında, ,"
Beylikdüzü,
 
Dereağzı Mahallesi
"
3174,"
1.600 TL",2 + 1,"
85 m2",25 Yaşında, Giriş Katı,"
Küçükçekmece,
 
Yeşilova Mahallesi
"
3175,"
1.900 TL",2 + 1,"
110 m2",40 Yaşında, Bahçe Katı,"
Şişli,
 
Merkez Mahallesi
"
3176,"
2.000 TL",3 + 1,"
120 m2",30 Yaşında, 4. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
3177,"
4.400 TL",3 + 1,"
145 m2",50 Yaşında, 1. Kat,"
Adalar,
 
Nizam Mahallesi
"
3178,"
2.000 TL",1 + 1,"
77 m2",Sıfır Bina, 12. Kat,"
Başakşehir,
 
Bahçeşehir 2. Kısım Mahallesi
"
3179,"
1.250 TL",2 + 1,"
95 m2",14 Yaşında, Bahçe Katı,"
Beykoz,
 
Soğuksu Mahallesi
"
3180,"
11.500 TL",5 + 1,"
270 m2",50 Yaşında, 4. Kat,"
Şişli,
 
Teşvikiye Mahallesi
"
3181,"
2.850 TL",3 + 1,"
185 m2",14 Yaşında, 2. Kat,"
Beylikdüzü,
 
Adnan Kahveci Mahallesi
"
3182,"
 9.000 TL",3 + 1,"
190 m2",11 Yaşında, 8. Kat,"
Beylikdüzü,
 
Adnan Kahveci Mahallesi
"
3183,"
1.500 TL",2 + 1,"
85 m2",25 Yaşında, 5. Kat,"
Kağıthane,
 
Çağlayan Mahallesi
"
3184,"
1.750 TL",1 + 1,"
110 m2",40 Yaşında, ,"
Fatih,
 
Koca Mustafapaşa Mahallesi
"
3185,"
1.600 TL",1 + 1,"
70 m2",30 Yaşında, 3. Kat,"
Şişli,
 
Esentepe Mahallesi
"
3186,"
5.500 TL",1 + 1,"
117 m2",3 Yaşında, 20. Kat,"
Sarıyer,
 
Huzur Mahallesi
"
3187,"
2.500 TL",2 + 1,"
85 m2",Sıfır Bina, 2. Kat,"
Şişli,
 
Meşrutiyet Mahallesi
"
3188,"
2.400 TL",2 + 1,"
80 m2",12 Yaşında, Kot 3,"
Şişli,
 
Fulya Mahallesi
"
3189,"
3.300 TL",2 + 1,"
90 m2",40 Yaşında, Yüksek Giriş,"
Beyoğlu,
 
Gümüşsuyu Mahallesi
"
3190,"
1.700 TL",2 + 1,"
90 m2",30 Yaşında, 4. Kat,"
Bahçelievler,
 
Soğanlı Mahallesi
"
3191,"
2.000 TL",2 + 1,"
85 m2",30 Yaşında, 4. Kat,"
Fatih,
 
Cerrahpaşa Mahallesi
"
3192,"
1.600 TL",2 + 1,"
80 m2",8 Yaşında, Bahçe Katı,"
Kağıthane,
 
Nurtepe Mahallesi
"
3193,"
7.500 TL",2 + 1,"
120 m2",Sıfır Bina, Bahçe Katı,"
Sarıyer,
 
Zekeriyaköy Mahallesi
"
3194,"
1.500 TL",3 + 1,"
150 m2",25 Yaşında, 3. Kat,"
Maltepe,
 
Fındıklı Mahallesi
"
3195,"
2.400 TL",1 + 1,"
80 m2",10 Yaşında, 5. Kat,"
Avcılar,
 
Üniversite Mahallesi
"
3196,"
3.500 TL",3 + 1,"
100 m2",22 Yaşında, 2. Kat,"
Şişli,
 
Fulya Mahallesi
"
3197,"
1.750 TL",2 + 1,"
85 m2",35 Yaşında, Yüksek Giriş,"
Fatih,
 
Mevlanakapı Mahallesi
"
3198,"
2.750 TL",1 + 1,"
60 m2",13 Yaşında, 4. Kat,"
Şişli,
 
Merkez Mahallesi
"
3199,"
3.500 TL",2 + 1,"
85 m2",4 Yaşında, 13. Kat,"
Kağıthane,
 
Emniyet Evleri Mahallesi
"
3200,"
45.000 TL",3 + 1,"
180 m2",35 Yaşında, 3. Kat,"
Beşiktaş,
 
Bebek Mahallesi
"
3201,"
1.500 TL",1 + 1,"
80 m2",40 Yaşında, Yarı Bodrum,"
Fatih,
 
Yedikule Mahallesi
"
3202,"
2.700 TL",1 + 1,"
70 m2",3 Yaşında, 13. Kat,"
Kadıköy,
 
Fikirtepe Mahallesi
"
3203,"
13.000 TL",4 + 1,"
180 m2",14 Yaşında, 2. Kat,"
Eyüpsultan,
 
Göktürk Merkez Mahallesi
"
3204,"
3.000 TL",1 + 1,"
60 m2",2 Yaşında, 5. Kat,"
Kağıthane,
 
Merkez Mahallesi
"
3205,"
4.000 TL",3 + 1,"
150 m2",34 Yaşında, 6. Kat,"
Şişli,
 
19 Mayıs Mahallesi
"
3206,"
1.400 TL",1 + 1,"
60 m2",40 Yaşında, 1. Kat,"
Fatih,
 
Silivrikapı Mahallesi
"
3207,"
2.400 TL",2 + 1,"
120 m2",24 Yaşında, 2. Kat,"
Kağıthane,
 
Sultan Selim Mahallesi
"
3208,"
2.600 TL",2 + 1,"
95 m2",35 Yaşında, 1. Kat,"
Şişli,
 
Feriköy Mahallesi
"
3209,"
4.500 TL",2 + 1,"
105 m2",31 Yaşında, 4. Kat,"
Beyoğlu,
 
Gümüşsuyu Mahallesi
"
3210,"
16.750 TL",3 + 1,"
147 m2",Sıfır Bina, 2. Kat,"
Beykoz,
 
Acarlar Mahallesi
"
3211,"
18.000 TL",3 + 1,"
180 m2",30 Yaşında, 6. Kat,"
Şişli,
 
Halaskargazi Mahallesi
"
3212,"
1.500 TL",2 + 1,"
85 m2",35 Yaşında, 3. Kat,"
Fatih,
 
Şehremini Mahallesi
"
3213,"
8.000 TL",3 + 1,"
200 m2",11 Yaşında, 7. Kat,"
Beylikdüzü,
 
Adnan Kahveci Mahallesi
"
3214,"
1.500 TL",2 + 1,"
85 m2",20 Yaşında, 2. Kat,"
Kağıthane,
 
Seyrantepe Mahallesi
"
3215,"
4.500 TL",2 + 1,"
150 m2",31 Yaşında, 1. Kat,"
Şişli,
 
Eskişehir Mahallesi
"
3216,"
4.000 TL",2 + 1,"
150 m2",45 Yaşında, 5. Kat,"
Şişli,
 
Merkez Mahallesi
"
3217,"
1.650 TL",1 + 1,"
75 m2",22 Yaşında, 2. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
3218,"
1.900 TL",2 + 1,"
110 m2",10 Yaşında, 1. Kat,"
Kağıthane,
 
Emniyet Evleri Mahallesi
"
3219,"
1.200 TL",1 + 1,"
65 m2",7 Yaşında, 3. Kat,"
Esenyurt,
 
Barbaros Hayrettin Paşa Mahallesi
"
3220,"
1.850 TL",2 + 1,"
85 m2",10 Yaşında, 4. Kat,"
Şişli,
 
Mecidiyeköy Mahallesi
"
3221,"
3.000 TL",1 + 1,"
50 m2",Sıfır Bina, 4. Kat,"
Beşiktaş,
 
Abbasağa Mahallesi
"
3222,"
4.300 TL",3 + 1,"
210 m2",10 Yaşında, Çatı Katı,"
Eyüpsultan,
 
Göktürk Merkez Mahallesi
"
3223,"
2.600 TL",2 + 1,"
85 m2",30 Yaşında, 4. Kat,"
Şişli,
 
Paşa Mahallesi
"
3224,"
5.000 TL",3 + 1,"
160 m2",25 Yaşında, 6. Kat,"
Beşiktaş,
 
Gayrettepe Mahallesi
"
3225,"
7.500 TL",4 + 1,"
185 m2",18 Yaşında, 20. Kat,"
Ataşehir,
 
Atatürk Mahallesi
"
3226,"
20.000 TL",4 + 1,"
220 m2",30 Yaşında, 4. Kat,"
Beşiktaş,
 
Bebek Mahallesi
"
3227,"
1.750 TL",2 + 1,"
85 m2",40 Yaşında, 3. Kat,"
Kağıthane,
 
Çağlayan Mahallesi
"
3228,"
1.750 TL",2 + 1,"
90 m2",20 Yaşında, 4. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
3229,"
2.200 TL",1 + 1,"
75 m2",2 Yaşında, 1. Kat,"
Şişli,
 
İzzet Paşa Mahallesi
"
3230,"
6.500 TL",4 + 1,"
230 m2",62 Yaşında, 4. Kat,"
Üsküdar,
 
Kandilli Mahallesi
"
3231,"
1.450 TL",2 + 1,"
90 m2",6 Yaşında, Bahçe Katı,"
Küçükçekmece,
 
Cumhuriyet Mahallesi
"
3232,"
1.600 TL",2 + 1,"
95 m2",20 Yaşında, 3. Kat,"
Şişli,
 
Gülbahar Mahallesi
"
3233,"
3.000 TL",2 + 1,"
110 m2",15 Yaşında, 2. Kat,"
Eyüpsultan,
 
Göktürk Merkez Mahallesi
"
3234,"
3.000 TL",2 + 1,"
95 m2",23 Yaşında, 4. Kat,"
Beşiktaş,
 
Vişnezade Mahallesi
"
3235,"
3.300 TL",3 + 1,"
110 m2",3 Yaşında, 4. Kat,"
Üsküdar,
 
Murat Reis Mahallesi
"
3236,"
3.200 TL",3 + 1,"
130 m2",35 Yaşında, Bahçe Katı,"
Beşiktaş,
 
Etiler Mahallesi
"
3237,"
2.100 TL",1 + 1,"
55 m2",25 Yaşında, 4. Kat,"
Şişli,
 
Gülbahar Mahallesi
"
3238,"
6.500 TL",3 + 1,"
120 m2",7 Yaşında, 2. Kat,"
Kadıköy,
 
Göztepe Mahallesi
"
3239,"
16.000 TL",2 + 1,"
125 m2",3 Yaşında, 5. Kat,"
Üsküdar,
 
Ünalan Mahallesi
"
3240,"
1.850 TL",3 + 1,"
115 m2",15 Yaşında, 3. Kat,"
Ümraniye,
 
Armağanevler Mahallesi
"
3241,"
2.200 TL",3 + 1,"
105 m2",40 Yaşında, Bodrum,"
Fatih,
 
Seyyid Ömer Mahallesi
"
3242,"
2.000 TL",3 + 1,"
125 m2",25 Yaşında, 1. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
3243,"
2.000 TL",3 + 1,"
165 m2",Sıfır Bina, 2. Kat,"
Silivri,
 
Yeni Mahallesi
"
3244,"
6.500 TL",1 + 1,"
70 m2",6 Yaşında, Yüksek Giriş,"
Beşiktaş,
 
Ortaköy Mahallesi
"
3245,"
850 TL",1 + 1,"
85 m2",2 Yaşında, Yüksek Giriş,"
Sancaktepe,
 
 Osmangazi Mahallesi
"
3246,"
4.250 TL",3 + 1,"
130 m2",50 Yaşında, 7. Kat,"
Şişli,
 
19 Mayıs Mahallesi
"
3247,"
1.800 TL",1 + 1,"
55 m2",20 Yaşında, Bahçe Katı,"
Şişli,
 
Mecidiyeköy Mahallesi
"
3248,"
 1.950 TL",2 + 1,"
110 m2",28 Yaşında, 3. Kat,"
Kağıthane,
 
Yeşilce Mahallesi
"
3249,"
4.750 TL",3 + 1,"
164 m2",10 Yaşında, 9. Kat,"
Başakşehir,
 
Kayabaşı Mahallesi
"
3250,"
9.750 TL",3 + 1,"
180 m2",3 Yaşında, 3. Kat,"
Maltepe,
 
İdealtepe Mahallesi
"
3251,"
6.000 TL",4 + 1,"
160 m2",23 Yaşında, 7. Kat,"
Ataşehir,
 
Atatürk Mahallesi
"
3252,"
120.000 TL",4 + 1,"
210 m2",25 Yaşında, 1. Kat,"
Adalar,
 
Maden Mahallesi
"
3253,"
3.100 TL",2 + 1,"
104 m2",3 Yaşında, 11. Kat,"
Kağıthane,
 
Nurtepe Mahallesi
"
3254,"
5.250 TL",4 + 1,"
200 m2",25 Yaşında, 11. Kat,"
Kadıköy,
 
Feneryolu Mahallesi
"
3255,"
2.350 TL",1 + 1,"
85 m2",30 Yaşında, Yüksek Giriş,"
Beşiktaş,
 
Cihannüma Mahallesi
"
3256,"
35.000 TL",3 + 1,"
341 m2",15 Yaşında, 15. Kat,"
Şişli,
 
19 Mayıs Mahallesi
"
3257,"
4.750 TL",2 + 1,"
100 m2",35 Yaşında, 1. Kat,"
Beşiktaş,
 
Arnavutköy Mahallesi
"
3258,"
3.500 TL",1 + 1,"
70 m2",25 Yaşında, Bahçe Katı,"
Şişli,
 
Gülbahar Mahallesi
"
3259,"
2.000 TL",2 + 1,"
100 m2",25 Yaşında, 5. Kat,"
Kağıthane,
 
Seyrantepe Mahallesi
"
3260,"
4.500 TL",3 + 1,"
110 m2",35 Yaşında, 4. Kat,"
Beşiktaş,
 
Mecidiye Mahallesi
"
3261,"
3.100 TL",2 + 1,"
85 m2",37 Yaşında, Bahçe Katı,"
Kadıköy,
 
Caferağa Mahallesi
"
3262,"
2.000 TL",2 + 1,"
120 m2",25 Yaşında, 5. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
3263,"
2.850 TL",1 + 1,"
75 m2",Sıfır Bina, 3. Kat,"
Şişli,
 
Mecidiyeköy Mahallesi
"
3264,"
6.500 TL",5 + 2,"
360 m2",15 Yaşında, ,"
Başakşehir,
 
Bahçeşehir 2. Kısım Mahallesi
"
3265,"
3.900 TL",3 + 1,"
200 m2",25 Yaşında, 2. Kat,"
Şişli,
 
Fulya Mahallesi
"
3266,"
1.200 TL",1 + 1,"
55 m2",35 Yaşında, Yarı Bodrum,"
Üsküdar,
 
İcadiye Mahallesi
"
3267,"
5.800 TL",3 + 1,"
181 m2",Sıfır Bina, 9. Kat,"
Kartal,
 
Orhantepe Mahallesi
"
3268,"
2.200 TL",2 + 1,"
80 m2",30 Yaşında, 4. Kat,"
Üsküdar,
 
 Ahmediye Mahallesi
"
3269,"
4.500 TL",1 + 1,"
88 m2",10 Yaşında, 14. Kat,"
Şişli,
 
Cumhuriyet Mahallesi
"
3270,"
2.300 TL",1 + 1,"
73 m2",8 Yaşında, 5. Kat,"
Esenyurt,
 
Barbaros Hayrettin Paşa Mahallesi
"
3271,"
3.000 TL",2 + 1,"
105 m2",13 Yaşında, 1. Kat,"
Avcılar,
 
Mustafa Kemal Paşa Mahallesi
"
3272,"
1.900 TL",1 + 1,"
60 m2",50 Yaşında, 3. Kat,"
Beyoğlu,
 
Kamer Hatun Mahallesi
"
3273,"
1.500 TL",2 + 1,"
90 m2",40 Yaşında, 4. Kat,"
Küçükçekmece,
 
Fatih Mahallesi
"
3274,"
2.100 TL",3 + 1,"
135 m2",28 Yaşında, 2. Kat,"
Küçükçekmece,
 
Cennet Mahallesi
"
3275,"
27.000 TL",2 + 1,"
180 m2",4 Yaşında, 10. Kat,"
Beşiktaş,
 
Levazım Mahallesi
"
3276,"
1.800 TL",2 + 1,"
105 m2",6 Yaşında, Çatı Katı,"
Arnavutköy,
 
Mustafa Kemal Paşa Mahallesi
"
3277,"
14.000 TL",1 + 1,"
140 m2",5 Yaşında, Bahçe Katı,"
Beşiktaş,
 
Levent Mahallesi
"
3278,"
4.000 TL",1 + 1,"
58 m2",12 Yaşında, 15. Kat,"
Şişli,
 
Teşvikiye Mahallesi
"
3279,"
4.350 TL",2 + 1,"
95 m2",5 Yaşında, 3. Kat,"
Bahçelievler,
 
Yenibosna Merkez Mahallesi
"
3280,"
4.000 TL",3 + 1,"
130 m2",25 Yaşında, Bahçe Katı,"
Sarıyer,
 
Merkez Mahallesi
"
3281,"
50.000 TL",3 + 1,"
363 m2",15 Yaşında, 4. Kat,"
Beşiktaş,
 
Vişnezade Mahallesi
"
3282,"
1.800 TL",2 + 1,"
85 m2",20 Yaşında, 2. Kat,"
Şişli,
 
Eskişehir Mahallesi
"
3283,"
8.250 TL",4 + 1,"
160 m2",10 Yaşında, Bahçe Katı,"
Bakırköy,
 
Şenlikköy Mahallesi
"
3284,"
3.000 TL",2 + 1,"
100 m2",30 Yaşında, 4. Kat,"
Şişli,
 
Bozkurt Mahallesi
"
3285,"
10.500 TL",2 + 1,"
100 m2",45 Yaşında, Yüksek Giriş,"
Beşiktaş,
 
Bebek Mahallesi
"
3286,"
2.500 TL",3 + 2,"
140 m2",7 Yaşında, 3. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
3287,"
1.550 TL",2 + 1,"
75 m2",30 Yaşında, 2. Kat,"
Kağıthane,
 
Çeliktepe Mahallesi
"
3288,"
16.000 TL",5 + 1,"
220 m2",30 Yaşında, 1. Kat,"
Beşiktaş,
 
Levazım Mahallesi
"
3289,"
30.000 TL",3 + 1,"
185 m2",25 Yaşında, 1. Kat,"
Beşiktaş,
 
Bebek Mahallesi
"
3290,"
1.050 TL",Stüdyo,"
65 m2",4 Yaşında, Bahçe Katı,"
Avcılar,
 
Gümüşpala Mahallesi
"
3291,"
22.000 TL",5 + 2,"
350 m2",6 Yaşında, ,"
Sarıyer,
 
Zekeriyaköy Mahallesi
"
3292,"
9.000 TL",3 + 1,"
140 m2",39 Yaşında, 6. Kat,"
Beyoğlu,
 
Şahkulu Mahallesi
"
3293,"
25.000 TL",3 + 1,"
155 m2",8 Yaşında, 3. Kat,"
Beyoğlu,
 
Pürtelaş Hasan Efendi Mahallesi
"
3294,"
4.500 TL",1 + 1,"
75 m2",Sıfır Bina, 6. Kat,"
Sarıyer,
 
Ayazağa Mahallesi
"
3295,"
8.640 TL",2 + 1,"
100 m2",3 Yaşında, 10. Kat,"
Ataşehir,
 
Atatürk Mahallesi
"
3296,"
1.500 TL",2 + 1,"
90 m2",25 Yaşında, Bodrum,"
Şişli,
 
İzzet Paşa Mahallesi
"
3297,"
1.800 TL",Stüdyo,"
45 m2",40 Yaşında, 1. Kat,"
Şişli,
 
Bozkurt Mahallesi
"
3298,"
2.500 TL",2 + 1,"
85 m2",3 Yaşında, Giriş Katı,"
Üsküdar,
 
Murat Reis Mahallesi
"
3299,"
1.000 TL",1 + 1,"
60 m2",21 Yaşında, Giriş Katı,"
Sarıyer,
 
Yeniköy Mahallesi
"
3300,"
14.000 TL",5 + 1,"
300 m2",15 Yaşında, ,"
Büyükçekmece,
 
Yenimahalle Mahallesi
"
3301,"
2.300 TL",1 + 1,"
80 m2",30 Yaşında, Giriş Katı,"
Beşiktaş,
 
Mecidiye Mahallesi
"
3302,"
2.300 TL",Stüdyo,"
45 m2",30 Yaşında, 3. Kat,"
Beyoğlu,
 
Kalyoncu Kulluğu Mahallesi
"
3303,"
150.000 TL",5 + 2,"
1.000 m2",16 Yaşında, ,"
Beykoz,
 
Acarlar Mahallesi
"
3304,"
6.000 TL",2 + 1,"
95 m2",22 Yaşında, 1. Kat,"
Beşiktaş,
 
Yıldız Mahallesi
"
3305,"
4.750 TL",3 + 1,"
130 m2",16 Yaşında, 3. Kat,"
Ümraniye,
 
Necip Fazıl Mahallesi
"
3306,"
5.500 TL",2 + 1,"
110 m2",3 Yaşında, 4. Kat,"
Kadıköy,
 
Feneryolu Mahallesi
"
3307,"
1.500 TL",2 + 1,"
 100 m2",20 Yaşında, Kot 1,"
Eyüpsultan,
 
Alibeyköy Mahallesi
"
3308,"
1.850 TL",2 + 1,"
85 m2",25 Yaşında, Yüksek Giriş,"
Güngören,
 
Akıncılar Mahallesi
"
3309,"
1.500 TL",2 + 1,"
125 m2",25 Yaşında, 3. Kat,"
Küçükçekmece,
 
Cumhuriyet Mahallesi
"
3310,"
1.750 TL",4 + 1,"
176 m2",6 Yaşında, 3. Kat,"
Arnavutköy,
 
Arnavutköy Merkez Mahallesi
"
3311,"
2.000 TL",2 + 1,"
120 m2",25 Yaşında, Yüksek Giriş,"
Büyükçekmece,
 
Mimaroba Mahallesi
"
3312,"
1.850 TL",2 + 1,"
75 m2",35 Yaşında, Bahçe Katı,"
Üsküdar,
 
Sultantepe Mahallesi
"
3313,"
18.000.000 TL",3 + 1,"
195 m2",25 Yaşında, En Üst Kat,"
Sarıyer,
 
Baltalimanı Mahallesi
"
3314,"
1.350 TL",1 + 1,"
40 m2",6 Yaşında, Yüksek Giriş,"
Şişli,
 
Gülbahar Mahallesi
"
3315,"
3.500 TL",3 + 1,"
140 m2",30 Yaşında, 5. Kat,"
Kadıköy,
 
19 Mayıs Mahallesi
"
3316,"
3.000 TL",3 + 1,"
110 m2",26 Yaşında, 2. Kat,"
Beşiktaş,
 
Türkali Mahallesi
"
3317,"
2.300 TL",3 + 1,"
110 m2",35 Yaşında, 5. Kat,"
Üsküdar,
 
Mimar Sinan Mahallesi
"
3318,"
2.600 TL",2 + 1,"
85 m2",30 Yaşında, Yüksek Giriş,"
Fatih,
 
Seyyid Ömer Mahallesi
"
3319,"
2.000 TL",2 + 1,"
85 m2",25 Yaşında, Zemin,"
Üsküdar,
 
Selami Ali Mahallesi
"
3320,"
2.350 TL",3 + 1,"
120 m2",13 Yaşında, Bahçe Katı,"
Güngören,
 
Haznedar Mahallesi
"
